track_name,artist_names
End of Beginning,Djo
The Fate of Ophelia,Taylor Swift
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast"
Man I Need,Olivia Dean
back to friends,sombr
WHERE IS MY HUSBAND!,RAYE
So Easy (To Fall In Love),Olivia Dean
Every Breath You Take,The Police
Ordinary,Alex Warren
Lush Life,Zara Larsson
BIRDS OF A FEATHER,Billie Eilish
CHANEL,Tyla
Die With A Smile,"Lady Gaga, Bruno Mars"
I Thought I Saw Your Face Today,She & Him
Iris,The Goo Goo Dolls
Sailor Song,Gigi Perez
Gabriela,KATSEYE
Cuando No Era Cantante,"El Bogueto, Yung Beef"
dopamina,"Peso Pluma, Tito Double P"
Running Up That Hill (A Deal With God),Kate Bush
No Broke Boys,"Disco Lines, Tinashe"
Opalite,Taylor Swift
Sweater Weather,The Neighbourhood
Love Me Not,Ravyn Lenae
DtMF,Bad Bunny
BAILE INoLVIDABLE,Bad Bunny
Who,Jimin
Raindance (feat. Tems),"Dave, Tems"
Sedia Aku Sebelum Hujan,Idgitaf
12 to 12,sombr
Internet Girl,KATSEYE
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp"
Die On This Hill,SIENNA SPIRO
The Night We Met,Lord Huron
Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef"
Purple Rain,Prince
Creep,Radiohead
Espresso,Sabrina Carpenter
WILDFLOWER,Billie Eilish
APT.,"ROSÉ, Bruno Mars"
Beautiful Things,Benson Boone
daño,"Peso Pluma, Tito Double P"
Posso Até Não Te Dar Flores,"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG"
Yellow,Coldplay
Manchild,Sabrina Carpenter
La Perla,"ROSALÍA, Yahritza Y Su Esencia"
I Wanna Be Yours,Arctic Monkeys
That’s So True,Gracie Abrams
Don’t Say You Love Me,Jin
One Dance,"Drake, Wizkid, Kyla"
Everybody Wants To Rule The World,Tears For Fears
Sparks,Coldplay
4 Raws,EsDeeKid
Dreams - 2004 Remaster,Fleetwood Mac
Starboy,"The Weeknd, Daft Punk"
Lose Control,Teddy Swims
Let Me Love You,"DJ Snake, Justin Bieber"
Phantom,"EsDeeKid, Rico Ace"
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums"
Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti"
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
Folded,Kehlani
Blinding Lights,The Weeknd
Mr. Brightside,The Killers
No One Noticed,The Marías
That's What I Like,Bruno Mars
undressed,sombr
505,Arctic Monkeys
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA"
bckpckbyz,"Peso Pluma, Tito Double P"
Pvta Luna,Neton Vega
DAISIES,Justin Bieber
Feel Good Inc.,"Gorillaz, De La Soul"
Take on Me,a-ha
"Good Luck, Babe!",Chappell Roan
NUEVAYoL,Bad Bunny
Apocalypse,Cigarettes After Sex
Who Knows,Daniel Caesar
no tiene sentido,Beéle
Nice To Each Other,Olivia Dean
Viva La Vida,Coldplay
What You Saying,Lil Uzi Vert
we can't be friends (wait for your love),Ariana Grande
ni pedo,"Peso Pluma, Tito Double P"
Riptide,Vance Joy
"Gehra Hua (From ""Dhurandhar"")","Shashwat Sachdev, Arijit Singh, Irshad Kamil, Armaan Khan"
The Less I Know The Better,Tame Impala
A Couple Minutes,Olivia Dean
As It Was,Harry Styles
Should I Stay or Should I Go - Remastered,The Clash
In the End,Linkin Park
Ya Borracho,Herencia De Grandes
Locked out of Heaven,Bruno Mars
Choosin' Texas,Ella Langley
Africa,TOTO
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast"
Sports car,Tate McRae
Let Down,Radiohead
We Are The People,Empire Of The Sun
EoO,Bad Bunny
7-3,"Peso Pluma, Tito Double P"
Somewhere Only We Know,Keane
kota ini tak sama tanpamu,Nadhif Basalamah
Shape of You,Ed Sheeran
LA CANCIÓN,"J Balvin, Bad Bunny"
Pink Pony Club,Chappell Roan
Sahiba,Aditya Rikhari
Marlboro Rojo,Fuerza Regida
TU VAS SIN (fav),Rels B
SPAGHETTI,"LE SSERAFIM, j-hope"
Sorry,Justin Bieber
No Pole,Don Toliver
NOT CUTE ANYMORE,ILLIT
luther (with sza),"Kendrick Lamar, SZA"
JETSKI,"PEDRO SAMPAIO, MC Meno K, Melody"
Billie Jean,Michael Jackson
Messy,Lola Young
like JENNIE,JENNIE
Young And Beautiful,Lana Del Rey
Danza Kuduro,"Don Omar, Lucenzo"
We Found Love,"Rihanna, Calvin Harris"
Bring Me To Life,Evanescence
Zoo,"Disney, Shakira"
From The Start,Laufey
Closer,"The Chainsmokers, Halsey"
2+2,"Omar Camacho, Victor Mendivil"
Counting Stars,OneRepublic
Smells Like Teen Spirit,Nirvana
Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin"
Just the Way You Are,Bruno Mars
The Chain - 2004 Remaster,Fleetwood Mac
Just Keep Watching (From F1® The Movie),"Tate McRae, F1 The Album"
Fame is a Gun,Addison Rae
Tears,Sabrina Carpenter
Landslide,Fleetwood Mac
The Scientist,Coldplay
Cinnamon Girl,Lana Del Rey
Die For You,The Weeknd
Perfect,Ed Sheeran
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer"
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton"
Si Antes Te Hubiera Conocido,KAROL G
The Man Who Can't Be Moved,The Script
Sienna,The Marías
Numb,Linkin Park
bittersweet,Madison Beer
Photograph,Ed Sheeran
Payphone,"Maroon 5, Wiz Khalifa"
Breakin' Dishes,Rihanna
VOY A LLeVARTE PA PR,Bad Bunny
LET THE WORLD BURN,Chris Grey
Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake"
Another Love,Tom Odell
Cruel Summer,Taylor Swift
P do Pecado - Ao Vivo,"Grupo Menos É Mais, Simone Mendes"
Night Changes,One Direction
Upside Down,Diana Ross
Without Me,Eminem
JUMP,BLACKPINK
Only Girl (In The World),Rihanna
Attention,Charlie Puth
Don't Stop The Music,Rihanna
No Lie,"Sean Paul, Dua Lipa"
mi refe,"Beéle, Ovy On The Drums"
bergema sampai selamanya,Nadhif Basalamah
Something Just Like This,"The Chainsmokers, Coldplay"
greedy,Tate McRae
Eu Te Seguro - Ao Vivo,"Panda, MJ Records"
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean"
Poker Face,Lady Gaga
Sweet Child O' Mine,Guns N' Roses
Confident,"Justin Bieber, Chance the Rapper"
Cry,Cigarettes After Sex
Gnarly,KATSEYE
Dracula,Tame Impala
Have You Ever Seen The Rain,Creedence Clearwater Revival
Take Me To Church,Hozier
I Run,"HAVEN., Kaitlin Aragon"
When Did You Get Hot?,Sabrina Carpenter
Dive,Olivia Dean
Gangsta's Paradise,"Coolio, L.V."
Mystical Magical,Benson Boone
Let Alone The One You Love,Olivia Dean
MIENTRAS DUERMES,Junior H
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande"
When I Was Your Man,Bruno Mars
"YOGURCITO REMIX (feat. Kris R., ROA)","Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA"
Stressed Out,Twenty One Pilots
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast"
Century,EsDeeKid
Too Sweet,Hozier
ocean eyes,Billie Eilish
Love Yourself,Justin Bieber
Unforgettable,"French Montana, Swae Lee"
Where Have You Been,Rihanna
lovely (with Khalid),"Billie Eilish, Khalid"
Summertime Sadness,Lana Del Rey
Promiscuous,"Nelly Furtado, Timbaland"
Beauty And A Beat,"Justin Bieber, Nicki Minaj"
Monolog,Pamungkas
